Title,IMDb ID
Avatar,tt0499549
Avengers: Endgame,tt4154796
Avatar: The Way of Water,tt1630029
Titanic,tt0120338
Star Wars: Episode VII - The Force Awakens,tt2488496
Avengers: Infinity War,tt4154756
Spider-Man: No Way Home,tt10872600
Inside Out 2,tt22022452
Jurassic World,tt0369610
The Lion King,tt6105098
The Avengers,tt0848228
Furious 7,tt2820852
Top Gun: Maverick,tt1745960
Frozen II,tt4520988
Barbie,tt1517268
Avengers: Age of Ultron,tt2395427
The Super Mario Bros. Movie,tt6718170
Black Panther,tt1825683
Harry Potter and the Deathly Hallows: Part 2,tt1201607
Deadpool & Wolverine,tt6263850
Star Wars: Episode VIII - The Last Jedi,tt2527336
Jurassic World: Fallen Kingdom,tt4881806
Frozen,tt2294629
Iron Man 3,tt1300854
Beauty and the Beast,tt2771200
Incredibles 2,tt3606756
The Fate of the Furious,tt4630562
Minions,tt2293640
Captain America: Civil War,tt3498820
Aquaman,tt1477834
The Lord of the Rings: The Return of the King,tt0167260
Spider-Man: Far from Home,tt6320628
Captain Marvel,tt4154664
Transformers: Dark of the Moon,tt1399103
The Dark Knight Rises,tt1345836
Skyfall,tt1074638
Transformers: Age of Extinction,tt2109248
Jurassic Park,tt0107290
Joker,tt7286456
Star Wars: Episode IX - The Rise of Skywalker,tt2527338
Toy Story 4,tt1979376
Toy Story 3,tt0435761
Pirates of the Caribbean: Dead Man's Chest,tt0383574
Rogue One: A Star Wars Story,tt3748528
Aladdin,tt6139732
Moana 2,tt13622970
Pirates of the Caribbean: On Stranger Tides,tt1298650
Star Wars: Episode I - The Phantom Menace,tt0120915
Despicable Me 3,tt3469046
Finding Dory,tt2277860
Harry Potter and the Sorcerer's Stone,tt0241527
Zootopia,tt2948356
Alice in Wonderland,tt1014759
The Hobbit: An Unexpected Journey,tt0903624
The Dark Knight,tt0468569
Jurassic World Dominion,tt8041270
The Lion King,tt0110357
Oppenheimer,tt15398776
Harry Potter and the Deathly Hallows: Part 1,tt0926084
Despicable Me 2,tt1690953
Despicable Me 4,tt7510222
The Jungle Book,tt3040964
Jumanji: Welcome to the Jungle,tt2283362
The Hobbit: The Battle of the Five Armies,tt2310332
Pirates of the Caribbean: At World's End,tt0449088
The Hobbit: The Desolation of Smaug,tt1170358
Doctor Strange in the Multiverse of Madness,tt9419884
Harry Potter and the Order of the Phoenix,tt0373889
Finding Nemo,tt0266543
Harry Potter and the Half-Blood Prince,tt0417741
Minions: The Rise of Gru,tt5113044
The Lord of the Rings: The Two Towers,tt0167261
Shrek 2,tt0298148
Bohemian Rhapsody,tt1727824
The Battle at Lake Changjin,tt13462900
Harry Potter and the Goblet of Fire,tt0330373
Spider-Man 3,tt0413300
The Lord of the Rings: The Fellowship of the Ring,tt0120737
Ice Age: Dawn of the Dinosaurs,tt1080016
Harry Potter and the Chamber of Secrets,tt0295297
Spider-Man: Homecoming,tt2250912
Spectre,tt2379713
Ice Age: Continental Drift,tt1667889
The Secret Life of Pets,tt2709768
Batman v Superman: Dawn of Justice,tt2975590
Wolf Warrior 2,tt7131870
The Hunger Games: Catching Fire,tt1951264
Guardians of the Galaxy Vol. 2,tt3896198
Black Panther: Wakanda Forever,tt9114286
Inside Out,tt2096673
Venom,tt1270797
Thor: Ragnarok,tt3501632
Star Wars: Episode III - Revenge of the Sith,tt0121766
The Twilight Saga: Breaking Dawn - Part 2,tt1673434
Guardians of the Galaxy Vol. 3,tt6791350
